Quantity,UnitPrice,ItemsInCart,TotalPrice,OrderMonth,OrderDayOfWeek,IsWeekend,PricePerItem,CartFillRatio,CustomerOrderCount,HasCoupon,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Cancelled,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,CouponCode_FREESHIP,CouponCode_NONE,CouponCode_SAVE10,CouponCode_WINTER15,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
5,570.62,7,2853.1,1,2,0,407.5857142857143,0.7142857142857143,1,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2,151.35,3,302.7,8,4,0,100.89999999999999,0.6666666666666666,1,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
5,550.68,8,2753.4,2,1,0,344.175,0.625,1,1,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
1,273.19,5,273.19,10,6,1,54.638,0.2,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
4,626.01,8,2504.04,5,3,0,313.005,0.5,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False
2,245.86,4,491.72,10,0,0,122.93,0.5,1,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,664.42,6,664.42,6,1,0,110.73666666666666,0.16666666666666666,1,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
5,149.55,9,747.75,5,4,0,83.08333333333333,0.5555555555555556,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
2,134.28,2,268.56,4,2,0,134.28,1.0,1,0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
4,509.38,6,2037.52,11,1,0,339.58666666666664,0.6666666666666666,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
5,625.97,9,3129.85,12,4,0,347.7611111111111,0.5555555555555556,1,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
3,49.14,7,147.42,2,5,1,21.06,0.42857142857142855,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
2,180.5,6,361.0,10,1,0,60.166666666666664,0.3333333333333333,1,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
3,201.49,4,604.47,8,2,0,151.1175,0.75,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
2,393.33,3,786.66,3,0,0,262.21999999999997,0.6666666666666666,2,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1,473.96,3,473.96,7,0,0,157.98666666666665,0.3333333333333333,1,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2,533.81,3,1067.62,1,1,0,355.8733333333333,0.6666666666666666,1,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
1,423.4,3,423.4,3,5,1,141.13333333333333,0.3333333333333333,1,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,431.44,3,431.44,3,2,0,143.81333333333333,0.3333333333333333,1,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
5,224.0,9,1120.0,1,0,0,124.44444444444444,0.5555555555555556,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
5,62.51,9,312.55,5,0,0,34.72777777777778,0.5555555555555556,1,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
4,342.95,6,1371.8,11,6,1,228.63333333333333,0.6666666666666666,1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2,49.62,2,99.24,1,6,1,49.62,1.0,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
4,273.25,5,1093.0,4,2,0,218.6,0.8,1,1,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
2,230.95,3,461.9,10,2,0,153.96666666666667,0.6666666666666666,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,399.98,3,399.98,7,2,0,133.32666666666668,0.3333333333333333,1,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
5,59.55,6,297.75,3,2,0,49.625,0.8333333333333334,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,472.74,6,472.74,2,3,0,78.79,0.16666666666666666,2,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
4,160.07,5,640.28,11,1,0,128.05599999999998,0.8,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False
3,423.53,6,1270.59,9,4,0,211.765,0.5,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2,426.7,5,853.4,3,5,1,170.68,0.4,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
3,500.08,6,1500.24,6,4,0,250.04,0.5,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
5,536.72,10,2683.6,5,0,0,268.36,0.5,1,0,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
1,162.77,4,162.77,6,0,0,40.6925,0.25,1,1,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False
